id,latitude,longitude,soortnaam,soortnaamtop,jaarvanaanleg,typeobject,typeeigenaarplus,typebeheerderplus,boomhoogteklasseactueel,buurt
920071,4.89989,52.341,Tilia tomentosa 'Brabant',Linde (Tilia),1992,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.,Rijnbuurt-West
920072,4.89894,52.34696,Ulmus 'Columella',Iep (Ulmus),2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,IJselbuurt-West
920073,4.89836,52.34699,Ulmus hollandica 'Pioneer',Iep (Ulmus),2002,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,IJselbuurt-West
920074,4.85703,52.33254,Ulmus 'Columella',Iep (Ulmus),2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Buitenveldert-West-Midden
920075,4.85435,52.33189,Alnus glutinosa,Els (Alnus),1993,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.,Amsterdamse Bos
920076,4.85701,52.33324,Ulmus 'Columella',Iep (Ulmus),2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Buitenveldert-West-Midden
920077,4.85702,52.33316,Ulmus 'Columella',Iep (Ulmus),2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Buitenveldert-West-Midden
920078,4.85702,52.33304,Ulmus 'Columella',Iep (Ulmus),2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Buitenveldert-West-Midden
920079,4.85702,52.33292,Ulmus 'Columella',Iep (Ulmus),2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Buitenveldert-West-Midden
920080,4.89806,52.34701,Ulmus 'Columella',Iep (Ulmus),2006,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,IJselbuurt-West
920081,4.85699,52.3341,Platanus hispanica,Plataan (Platanus),2002,Gekandelaberde boom,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,Zuiderhof
920082,4.85699,52.33392,Platanus hispanica,Plataan (Platanus),2002,Gekandelaberde boom,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,Zuiderhof
920083,4.88447,52.34231,Acer saccharinum,Esdoorn (Acer),2003,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.,Beatrixpark
920084,4.88449,52.34244,Acer saccharinum,Esdoorn (Acer),2003,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.,Beatrixpark
920085,4.86965,52.32207,Fraxinus excelsior 'Westhof's Glorie',Es (Fraxinus),2000,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.,Uilenstede
920086,4.86958,52.32213,Fraxinus excelsior 'Westhof's Glorie',Es (Fraxinus),2000,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.,Uilenstede
920087,4.88931,52.34789,Sorbus aucuparia,Sorbus,1993,Stobbe,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.,Wielingenbuurt
920088,4.88928,52.34765,Sorbus aucuparia edulis,Sorbus,2001,Stobbe,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.,Wielingenbuurt
920089,4.88947,52.34779,Sorbus intermedia,Sorbus,1982,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.,Wielingenbuurt
920090,4.86456,52.32617,Magnolia kobus,Magnolia,2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.,Buitenveldert-Zuidwest
920091,4.904,52.34539,Tilia europaea 'Pallida',Linde (Tilia),1976,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,Scheldebuurt-Oost
920092,4.89476,52.34514,Ulmus 'Columella',Iep (Ulmus),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.,Scheldebuurt-West
920093,4.90245,52.34724,Robinia pseudoacacia 'Bessoniana',Acacia (Robinia),2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,IJselbuurt-West
920094,4.90864,52.34368,Gleditsia triacanthos 'Skyline',Valse christusdoorn (Gleditsia triacanthos),2003,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,Rijnbuurt-Oost
920095,4.90874,52.34344,Gleditsia triacanthos 'Skyline',Valse christusdoorn (Gleditsia triacanthos),2003,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,Rijnbuurt-Oost
920096,4.90878,52.34332,Gleditsia triacanthos 'Skyline',Valse christusdoorn (Gleditsia triacanthos),2003,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Rijnbuurt-Oost
920097,4.90718,52.34292,Corylus colurna,Corylus,1983,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.,Kromme Mijdrechtbuurt
920098,4.90692,52.34289,Quercus coccinea,Eik (Quercus),1966,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,Kromme Mijdrechtbuurt
920099,4.89911,52.34539,Sorbus aria 'Majestica',Sorbus,2006,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.,Scheldebuurt-Midden
920100,4.89905,52.34472,Robinia pseudoacacia,Acacia (Robinia),2006,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Scheldebuurt-Midden
920101,4.86298,52.33212,Ulmus 'New Horizon',Iep (Ulmus),2006,Stobbe,Gemeente Amsterdam,R&E_VOR_Bomen,q. Niet van toepassing,Buitenveldert-West-Midden
920102,4.86392,52.33213,Ulmus 'Dodoens',Iep (Ulmus),2000,Stobbe,Gemeente Amsterdam,R&E_VOR_Bomen,q. Niet van toepassing,Buitenveldert-West-Midden
920103,4.90594,52.33576,Robinia pseudoacacia,Acacia (Robinia),1993,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,Zorgvlied
920104,4.86899,52.34077,Quercus robur,Eik (Quercus),1990,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.,Zuidas-Noord
920105,4.86908,52.34081,Quercus robur,Eik (Quercus),1974,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Zuidas-Noord
920106,4.86913,52.34079,Quercus robur,Eik (Quercus),1974,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,Zuidas-Noord
920107,4.86932,52.34081,Quercus robur,Eik (Quercus),1974,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Zuidas-Noord
920108,4.85136,52.3353,Populus tremula,Populier (Populus),1992,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Amsterdamse Bos
920109,4.90727,52.33855,Platanus hispanica,Plataan (Platanus),1978,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Rijnbuurt-Midden
920110,4.90716,52.33853,Pterocarya fraxinifolia,Vleugelnoot (Pterocarya),1983,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Rijnbuurt-Midden
920111,4.88163,52.32439,Quercus robur,Eik (Quercus),2001,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Buitenveldert-Zuidoost
920112,4.87079,52.34085,Quercus robur,Eik (Quercus),1974,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.,Zuidas-Noord
920113,4.9015,52.33918,Tilia americana,Linde (Tilia),1960,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,f. 18 tot 24 m.,Veluwebuurt
920114,4.90145,52.33913,Tilia americana,Linde (Tilia),1960,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,f. 18 tot 24 m.,Veluwebuurt
920115,4.89944,52.33958,Populus 'Oxford',Populier (Populus),1959,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,g. 24 m. en hoger,Veluwebuurt
920116,4.89933,52.33945,Populus 'Oxford',Populier (Populus),1970,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,g. 24 m. en hoger,Veluwebuurt
920117,4.90466,52.33971,Tilia americana,Linde (Tilia),1948,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.,Rijnbuurt-Midden
920118,4.85029,52.33458,Alnus glutinosa 'Laciniata',Els (Alnus),2005,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Amsterdamse Bos
920119,4.85032,52.33459,Acer campestre,Esdoorn (Acer),2005,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,Amsterdamse Bos
920120,4.85085,52.33462,Acer pseudoplatanus,Esdoorn (Acer),2005,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,Amsterdamse Bos
920121,4.89981,52.34607,Tilia europaea 'Euchlora',Linde (Tilia),1970,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,Scheldebuurt-Midden
920122,4.89952,52.34599,Robinia pseudoacacia 'Bessoniana',Acacia (Robinia),1953,Stobbe,Gemeente Amsterdam,R&E_VOR_Bomen,q. Niet van toepassing,Scheldebuurt-Midden
920123,4.85704,52.332,Ulmus 'Columella',Iep (Ulmus),2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Buitenveldert-West-Midden
920124,4.91164,52.34212,Robinia pseudoacacia 'Bessoniana',Acacia (Robinia),2003,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,Rijnbuurt-Oost
920125,4.90686,52.34861,Aesculus carnea,Paardenkastanje (Aesculus),1948,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,IJselbuurt-Oost
920126,4.90213,52.34803,Tilia americana,Linde (Tilia),1950,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,IJselbuurt-West
920127,4.9032,52.34818,Tilia americana,Linde (Tilia),1950,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,IJselbuurt-West
920128,4.86076,52.32387,Prunus 'Umineko',Kers (Prunus),2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.,Buitenveldert-Zuidwest
920129,4.86076,52.32392,Prunus 'Umineko',Kers (Prunus),2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.,Buitenveldert-Zuidwest
920130,4.89816,52.34671,Tilia europaea 'Zwarte Linde',Linde (Tilia),2000,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.,Scheldebuurt-Midden
920131,4.8978,52.34673,Tilia europaea 'Zwarte Linde',Linde (Tilia),1989,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,f. 18 tot 24 m.,Scheldebuurt-Midden
920132,4.87561,52.33405,Prunus avium 'Plena',Kers (Prunus),1990,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,Gelderlandpleinbuurt
920133,4.87561,52.33412,Prunus avium 'Plena',Kers (Prunus),1990,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,Gelderlandpleinbuurt
920134,4.87561,52.3342,Prunus avium 'Plena',Kers (Prunus),1990,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,Gelderlandpleinbuurt
920135,4.86836,52.32463,Platanus hispanica,Plataan (Platanus),1982,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Buitenveldert-Zuidwest
920136,4.86833,52.32365,Acer campestre 'Elsrijk',Esdoorn (Acer),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.,Buitenveldert-Zuidwest
920137,4.89683,52.34446,Robinia pseudoacacia,Acacia (Robinia),1985,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Scheldebuurt-Midden
920138,4.89672,52.34512,Sorbus aria 'Majestica',Sorbus,2006,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.,Scheldebuurt-Midden
920139,4.8968,52.34614,Robinia pseudoacacia 'Bessoniana',Acacia (Robinia),1946,Gekandelaberde boom,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Scheldebuurt-Midden
920140,4.8515,52.33618,Alnus spaethii 'Spaeth',Els (Alnus),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Amsterdamse Bos
920141,4.89789,52.32953,Ulmus hollandica 'Christine Buisman',Iep (Ulmus),1998,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Amstelpark
920142,4.8977,52.32933,Ulmus hollandica 'Christine Buisman',Iep (Ulmus),1998,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.,Amstelpark
920143,4.89208,52.32241,Fraxinus excelsior 'Westhof's Glorie',Es (Fraxinus),2006,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,Buitenveldert-Zuidoost
920144,4.88962,52.33878,Acer saccharinum 'Pyramidale',Esdoorn (Acer),1990,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,f. 18 tot 24 m.,RAI
920145,4.85726,52.33055,Platanus hispanica,Plataan (Platanus),1999,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.,Buitenveldert-West-Midden
920146,4.89966,52.34101,Tilia tomentosa 'Brabant',Linde (Tilia),1992,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.,Rijnbuurt-West
920147,4.87054,52.33167,Prunus avium 'Plena',Kers (Prunus),2006,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.,Gelderlandpleinbuurt
